,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
1,Afghanistan,2016,4.220168591,7.461400986,0.559071779,52.01652908,0.522566199,0.057072122,0.793245554,0.564952672,0.348332286,0.324989557,-1.917693496,-1.432547569,1.796219468,0.42562741,NA,0.418629497
2,Afghanistan,2017,2.66171813,7.460143566,0.490880072,52.33952713,0.427010864,-0.106340349,0.954392552,0.49634856,0.371326178,0.261178523,NA,NA,1.454050779,0.546282768,NA,0.286598861
3,Albania,2016,4.511100769,9.337774277,0.638411462,68.87181091,0.72981894,-0.023275997,0.901070774,0.675243735,0.321705997,0.400909811,0.208455563,-0.139161408,2.646668196,0.586701214,0.30325,0.416540354
4,Albania,2017,4.639548302,9.373718262,0.637698293,69.05165863,0.74961102,-0.035140377,0.876134634,0.669240892,0.33388412,0.457737535,NA,NA,2.682104826,0.578096092,0.30325,0.41048798
5,Algeria,2016,5.340853691,9.541166306,0.748588264,65.50951385,NA,NA,NA,0.66051048,0.377111971,NA,-1.008261681,-0.814303935,2.114553452,0.395920485,0.276,0.604616702
6,Algeria,2017,5.248912334,9.540244102,0.806753874,65.69918823,0.436670482,-0.194670126,0.699774206,0.641979635,0.288710028,NA,NA,NA,2.039764643,0.388607115,0.276,0.527555764
7,Argentina,2016,6.427221298,9.824954987,0.882819116,67.39851379,0.847702205,-0.191952422,0.850924492,0.841906726,0.311646461,0.419561833,0.381369591,-0.238001987,2.127108574,0.330953062,0.476066667,0.332070827
8,Argentina,2017,6.039330006,9.843519211,0.906699121,67.53870392,0.831966162,-0.186299905,0.841052473,0.809422612,0.291717261,0.305430293,NA,NA,2.409328938,0.398939759,0.476066667,0.394175798
9,Armenia,2016,4.325471878,9.010698318,0.709218323,64.96273041,0.610986948,-0.158838838,0.921421051,0.593600273,0.437227815,0.184713036,-0.609074652,-0.143277928,2.126364231,0.491591275,0.325066667,0.381563634
10,Armenia,2017,4.287736416,9.034710884,0.697924912,65.12568665,0.613697052,-0.132166177,0.86468333,0.625013828,0.43714875,0.246900991,NA,NA,2.325378895,0.54233253,0.325066667,0.478876591
